Date,spy_weight,bond_weight,spy_risk_contrib,bond_risk_contrib,spy_risk_contrib_scaled,bond_risk_contrib_scaled
1993-04-28,0.6280151318387044,0.37198486816129556,7.338794815054689,1.8345466246370257,0.800013262702813,0.19998673729718694
1993-07-23,0.6338121308477666,0.36618786915223345,8.694059401270419,2.1733449753699174,0.8000125052821666,0.19998749471783325
1993-10-18,0.6535055846197104,0.3464944153802895,7.383546246307118,1.8457916364281137,0.8000082281220925,0.19999177187790745
1994-01-12,0.654220620100184,0.345779379899816,7.585345255643198,1.8962425220721977,0.8000079135976633,0.19999208640233676
1994-04-08,0.7186140463105287,0.2813859536894714,11.602415643142542,2.90038934323537,0.8000118359200427,0.1999881640799574
1994-07-06,0.6876744910578747,0.31232550894212546,11.02895049514634,2.7569251320350334,0.8000181340241275,0.19998186597587256
1994-09-29,0.6496088771078475,0.3503911228921526,8.38014098048873,2.09484498830004,0.8000145303734217,0.19998546962657832
1994-12-23,0.7063410219919067,0.2936589780080932,12.123619961335665,3.03064023072934,0.8000139767749119,0.1999860232250881
1995-03-22,0.6288135872074752,0.37118641279252484,9.806660133444984,2.451480841208734,0.8000120208865533,0.1999879791134468
1995-06-16,0.7082504760510533,0.29174952394894665,10.017753552241198,2.504202497875786,0.8000150705007153,0.19998492949928467
1995-09-12,0.652114224617565,0.3478857753824349,9.57553476862858,2.393729442143501,0.8000103097407445,0.1999896902592555
1995-12-06,0.6541948539218334,0.34580514607816665,8.915101445154752,2.228618789610269,0.8000112401729491,0.1999887598270509
1996-03-04,0.724343708693591,0.27565629130640895,7.499063013340954,1.874671433878322,0.8000080496803017,0.1999919503196983
1996-05-29,0.6874893070995519,0.312510692900448,8.799049275954484,2.1996265900021386,0.8000098723874137,0.19999012761258636
1996-08-22,0.6478260689728282,0.3521739310271718,8.738356048582775,2.1843178425591403,0.8000198610405661,0.19998013895943384
1996-11-15,0.6319495592226253,0.3680504407773746,9.261653736102362,2.3151687082647694,0.8000169114288137,0.1999830885711863
1997-02-12,0.6504383878286601,0.34956161217133996,9.593693562921763,2.3980958758495405,0.8000218492749609,0.1999781507250392
1997-05-09,0.6503792439685215,0.3496207560314784,10.732602203944548,2.6828508231424193,0.8000178735876075,0.19998212641239246
1997-08-05,0.5834200844070467,0.41657991559295326,9.853331623237777,2.463149632237977,0.8000119042812742,0.1999880957187258
1997-10-29,0.5484427135397439,0.45155728646025595,7.0831838135919085,1.7705768831600437,0.8000197945479158,0.19998020545208423
1998-01-27,0.6537750017845975,0.3462249982154026,5.181750055415101,1.2953455745358193,0.8000113556227307,0.19998864437726926
1998-04-23,0.6221943000863426,0.37780569991365737,9.204775609348209,2.3008988635876637,0.8000205143123131,0.1999794856876869
1998-07-20,0.6661480627146985,0.33385193728530144,9.1562159568379,2.288769958326038,0.8000198536466916,0.19998014635330846
1998-10-13,0.5681925288428591,0.43180747115714085,7.688171788583497,1.9217971124819182,0.8000204649706144,0.1999795350293857
1999-01-08,0.7501539710664279,0.24984602893357216,8.112712631067037,2.028067815177481,0.8000087048597384,0.1999912951402616
1999-04-07,0.5891633994825821,0.4108366005174178,8.682304519887758,2.1703445522228892,0.8000170706891938,0.1999829293108061
1999-07-01,0.6737669654627026,0.32623303453729746,8.193501576599822,2.0482425875672368,0.8000103737473296,0.19998962625267025
1999-09-27,0.7339933166520761,0.2660066833479239,8.09418839477395,2.023440017008856,0.8000084669395059,0.19999153306049416
1999-12-21,0.6017649908957936,0.3982350091042063,9.84236852109737,2.4602508692365483,0.8000221911140688,0.19997780888593125
2000-03-17,0.5925070229226546,0.40749297707734544,7.33543412315968,1.8337051459195923,0.8000133827061255,0.19998661729387449
2000-06-13,0.6399011972191365,0.3600988027808635,8.90984221612643,2.22719355819269,0.8000191789516944,0.19998082104830564
2000-09-07,0.5050505765376786,0.49494942346232135,6.686102546434749,1.6713527649908766,0.8000165477755006,0.19998345222449956
2000-12-01,0.5512594039927471,0.4487405960072529,6.838570684531504,1.7095202293346776,0.8000114591011661,0.19998854089883394
2001-03-01,0.6438678470399555,0.35613215296004447,11.151937827188027,2.7876318786190657,0.8000202346663711,0.199979765333629
2001-05-25,0.6436432417693638,0.3563567582306361,9.489464250988178,2.3720831428342293,0.8000190814842901,0.19998091851570984
2001-08-21,0.6003118329213734,0.39968816707862664,9.209183202779272,2.302061810852086,0.8000162616531891,0.199983738346811
2001-11-20,0.7155130933160037,0.2844869066839963,7.075423883132623,1.7687325495791568,0.800011164090544,0.19998883590945613
2002-02-19,0.5391734652721498,0.46082653472785023,12.213730029458866,3.0529658121582672,0.8000244555972709,0.19997554440272916
2002-05-15,0.5313595115100711,0.46864048848992895,7.457380385390957,1.8641601554223695,0.8000158721339726,0.19998412786602726
2002-08-09,0.4982493573856086,0.5017506426143914,8.489015311922962,2.1220098754701944,0.8000183923800943,0.1999816076199057
2002-11-04,0.5536588834335374,0.4463411165664627,10.318255387688827,2.579335100529604,0.8000141884729748,0.1999858115270252
2003-01-31,0.6392772229699029,0.36072277703009714,9.020605559807855,2.254998764093236,0.8000108287488169,0.1999891712511831
2003-04-29,0.6804709101680082,0.31952908983199174,7.453741610184325,1.863277307459372,0.8000135747357052,0.1999864252642948
2003-07-24,0.6092144439449946,0.39078555605500537,7.13172197264923,1.7828149453938946,0.8000103693793161,0.19998963062068395
2003-10-17,0.5241574258400769,0.47584257415992315,8.154595770569816,2.0383840389870858,0.8000207910668179,0.19997920893318202
2004-01-14,0.5501294742490562,0.44987052575094366,8.779224941596734,2.194541547913195,0.8000192960173695,0.19998070398263046
