Date,SPY,VUSTX,^SPGSCI
1993-04-27,0.5446964804721627,0.22604441543865023,0.229259104089187
1993-04-28,0.5479135740588107,0.22380247301084696,0.2282839529303424
1993-04-29,0.5516889971788784,0.22618759634461127,0.22212340647651024
1993-04-30,0.5557171454653389,0.22473592794974287,0.21954692658491828
1993-05-03,0.5563288664439217,0.21975871681338968,0.22391241674268858
1993-05-04,0.555511527862023,0.21797793071836935,0.22651054141960775
1993-05-05,0.5544412127810019,0.21889740666789054,0.22666138055110766
1993-05-06,0.5558104911909115,0.21980178959304356,0.22438771921604486
1993-05-07,0.5582018171838216,0.21465340255482077,0.2271447802613576
1993-05-10,0.5569410611827381,0.21577453100516406,0.2272844078120978
1993-05-11,0.5521353597143842,0.21071837081435416,0.23714626947126177
1993-05-12,0.5644986110448691,0.18218021114153862,0.25332117781359226
1993-05-13,0.5807810356821266,0.17968664758832256,0.23953231672955086
1993-05-14,0.5790000506646827,0.18227324539037895,0.2387267039449383
1993-05-17,0.5762071976495241,0.18113481375679502,0.2426579885936808
1993-05-18,0.56589605376776,0.18110374983576474,0.2530001963964753
1993-05-19,0.5452663561166232,0.18701141317807143,0.2677222307053054
1993-05-20,0.5589881532707591,0.18092672003062515,0.2600851266986157
1993-05-21,0.5567819028914011,0.17767437878301673,0.2655437183255822
1993-05-24,0.5533452594056674,0.179873356544191,0.2667813840501417
1993-05-25,0.5545591438889136,0.17994550136015428,0.2654953547509321
1993-05-26,0.5578713609597631,0.16919981280858679,0.2729288262316502
1993-05-27,0.55356643912294,0.17229383434249204,0.2741397265345679
1993-05-28,0.5447666932871785,0.17442035952430318,0.2808129471885183
1993-06-01,0.5478784529156833,0.16767076523799376,0.284450781846323
1993-06-02,0.5788895042011858,0.1644036920274998,0.2567068037713145
1993-06-03,0.5813385890061504,0.16756259934681758,0.251098811647032
1993-06-04,0.5797771123433049,0.16610150158566353,0.2541213860710316
1993-06-07,0.5762155540176357,0.16617333712092,0.2576111088614443
1993-06-08,0.5788869518072188,0.17416165615454557,0.24695139203823566
1993-06-09,0.5824960022611273,0.16964211846983632,0.2478618792690364
1993-06-10,0.5844560676257474,0.17071601118759422,0.2448279211866584
1993-06-11,0.5877721818031996,0.16583113025028037,0.24639668794651995
1993-06-14,0.5765784998832912,0.1661881265018572,0.25723337361485155
1993-06-15,0.582689784865669,0.1680481979762274,0.24926201715810353
1993-06-16,0.5717420998911296,0.16644953744119576,0.2618083626676747
1993-06-17,0.5691603796510991,0.1672311551772472,0.26360846517165365
1993-06-18,0.5641059491786461,0.16750141613093775,0.2683926346904162
1993-06-21,0.5619685898589137,0.1593176111153377,0.27871379902574855
1993-06-22,0.5623611871274838,0.1657974927259106,0.2718413201466055
1993-06-23,0.5555234350326548,0.1670904168395993,0.27738614812774587
1993-06-24,0.5510304296909746,0.17135852817594488,0.2776110421330806
1993-06-25,0.5448687032978983,0.17163764535933307,0.28349365134276855
1993-06-28,0.5449744854731325,0.17509830946606275,0.27992720506080465
1993-06-29,0.5656464858362581,0.18355025074072961,0.2508032634230123
1993-06-30,0.5692727728811038,0.1829524277604573,0.24777479935843888
1993-07-01,0.5682148277292228,0.1770702546020452,0.254714917668732
1993-07-02,0.565305644647318,0.1791464336504631,0.2555479217022188
1993-07-06,0.5532936919705526,0.17663943350496333,0.2700668745244841
1993-07-07,0.5452404706136968,0.1728397195295605,0.2819198098567426
1993-07-08,0.5333073801650451,0.1728274083681776,0.29386521146677724
1993-07-09,0.5344951452206862,0.172166775148539,0.29333807963077485
1993-07-12,0.5333981030251023,0.17096713139545802,0.29563476557943974
1993-07-13,0.5282151578325677,0.17235201485545912,0.29943282731197307
1993-07-14,0.5323528365418981,0.1736205827450569,0.29402658071304494
1993-07-15,0.5318901004489891,0.17448212243766759,0.2936277771133433
1993-07-16,0.5356127649509079,0.17697909818858074,0.28740813686051125
1993-07-19,0.5654267640629815,0.17607388508355964,0.25849935085345876
1993-07-20,0.5675592533331014,0.1787508452732332,0.2536899013936654
1993-07-21,0.5726574546366935,0.17855833105056435,0.24878421431274209
1993-07-22,0.5854642698878779,0.16486641340097874,0.24966931671114337
1993-07-23,0.5842093653889264,0.1722580719772195,0.2435325626338541
1993-07-26,0.5748887565681284,0.1732860775416484,0.2518251658902232
1993-07-27,0.579463861602386,0.17454846707019395,0.24598767132741986
1993-07-28,0.5727248812474696,0.1832681729041856,0.24400694584834495
1993-07-29,0.5764317125720994,0.17884556014106098,0.24472272728683972
1993-07-30,0.5750196382412509,0.18525182580565447,0.2397285359530947
1993-08-02,0.5777121777297317,0.18632429912562237,0.23596352314464591
1993-08-03,0.575451425452747,0.18894946711870178,0.2355991074285512
1993-08-04,0.5754770495609537,0.18953382058832283,0.2349891298507234
1993-08-05,0.5794902538283702,0.1902106377909493,0.23029910838068052
1993-08-06,0.5760734513540582,0.19430613203465455,0.22962041661128732
1993-08-09,0.5650598768266839,0.20016210430643794,0.23477801886687813
1993-08-10,0.5639854204982923,0.2004107865177063,0.23560379298400136
1993-08-11,0.5720829182538709,0.19874096088270965,0.22917612086341954
1993-08-12,0.5664320323137308,0.20174623400142058,0.23182173368484868
1993-08-13,0.5940702290778125,0.1875394785429428,0.2183902923792447
1993-08-16,0.5884577779053012,0.18436840344848993,0.22717381864620884
1993-08-17,0.588015807480196,0.19352301850888282,0.21846117401092133
1993-08-18,0.5864002972363834,0.19419592410561567,0.21940377865800087
1993-08-19,0.5866690260892428,0.19260795562945507,0.22072301828130217
1993-08-20,0.5954987708032353,0.19711199830439283,0.20738923089237174
